TESTPLANS,,ITEM_NUMBER
2OJ171SLI\Lid_NY_NP7600_22G,,3OP920
2OJ190SLI\Lid_NY_NP7600_22J,,7O4AQ084
2OJ213SLI\Lid_01A,,2RS407
2OJ213SLI\Lid_NY_Skip lot testing,,6NQ86984
2OJ227\Web_NP8530_15.75,,8EQ901CK
2OJ324\Web_NP8530_11.0,,7O4OP075
2OJ660\Web_NP8535_13.25,,2OX465ROLL
2OJ660SLI\Lid_01B,,2AP159LI
2OM304\Web_NP8540_16.0,,6OD438SS
2OM304\Web_NY_Skip lot testing,,6CP54072
2OM304SLI\Lid_No-Rinse sanitizing Solo,,6AP03525
2OM304SLI\Lid_NY_Skip lot testing,,2OP093LI
2OM701\Web_NP8540_16.0,,8BP54001
2OM701SLI\Lid_No-Rinse sanitizing Solo,,8DP54000
2OM701SLI\Lid_No-Rinse sanitizing Solo_01,,7O4OU225
2OM701SLI\Lid_NY_Skip lot testing,,8FQ85000
2OP017LI\Lid_18B,,8HQ85001
2OP017LI\Lid_NY_Skip lot testing,,8EP68300
2OP034\Web_NP8530_8.25,,3OS407
2OP036LI\Lid_04J_560,,8EP68301
2OP036LI\Lid_NY_Skip lot testing,,6AP15984
2OP037\Web_NP8511_245,,6AM70172
2OP051\Web_NP8541_11,,7O4OD363
2OP063\Web_NP8511_320,,3OP138
2OP065\Web_NP8536_11.875,,6OQ22272
2OP067\Web_NP8536_11.875,,6JQ08472
2OP067\Web_NY_Skip lot testing,,2OH581
2OP072\Web_NP8511_245,,3XP138
2OP073\Web_NP8536_11.875,,3OH592
2OP075\Web_NP8541_12.205,,3OU275
2OP079\Web_NP8541_12.205,,5AA632S60
2OP081\Web_NP8536_11.875,,5BJ123BT
2OP087\Web_NP8550_12.205,,3OQ890N
2OP091\Web_NP8550_12.205,,3OS419
2OP092\Web_NP8536_10,,6BH59200
2OP093\Jar _10 oz Blue HDPE Grade Jar,,6OH14324
2OP093\Skip Lot Release_NY_2OP093,,7B4OP113
2OP093LI\Lid_NY_Threaded Blue Cap,,7A4OS411
2OP109\Web_NP8530_8.25,,7O4OP093
2OP113\Web_NP8541_11,,7D4OQ028
2OP113\Web_NY_Skip lot testing,,3OA426
2OP116LI\Lid_18B,,6DP13872
2OP116LI\Lid_18B ,,2OQ850LI
2OP134\Canister_01B,,5CU252IN
2OP134\Reduced Testing_NY_Can 2OP134,,2BJ123
2OP134\REDUCED TESTING_NY_Canister,,3OP093PD
2OP134\Skip Lot Release_NY_2OP134,,2AJ190
2OP135LI\Lid_03A,,7O4OF602
2OP135LI\Lid_03A ,,7A4OF602
2OP138\Reduced Testing_NY_Can 2OP138,,7A4OD310
2OP138\Skip Lot Relrase_NY_2OP138,,2ED419
2OP138C\Reduced Testing_NY_Can 2OP138C,,2SB108
2OP138C\Skip Lot Relrase_NY_2OP138C,,2OM304SLI
2OP140\Web_NP8512_310,,2CA580SLI
2OP150SLI\Lid_01F,,5AU25206
2OP155\Web_NP8512_13.25,,6MU87295
2OP155SLI\Lid_01G,,6AA617S96
